"Manage Shopping Cart","Manage Shopping Cart",module,Magento_AdvancedCheckout
"Create Order","Create Order",module,Magento_AdvancedCheckout
Back,Back,module,Magento_AdvancedCheckout
"Add Products","Add Products",module,Magento_AdvancedCheckout
"Update Items and Quantities","Update Items and Quantities",module,Magento_AdvancedCheckout
"Are you sure you want to clear your cart?","Are you sure you want to clear your cart?",module,Magento_AdvancedCheckout
"Clear my shopping cart","Clear my shopping cart",module,Magento_AdvancedCheckout
"Add selections to my cart","Add selections to my cart",module,Magento_AdvancedCheckout
Cancel,Cancel,module,Magento_AdvancedCheckout
"Shopping Cart for %1 in %2","Shopping Cart for %1 in %2",module,Magento_AdvancedCheckout
"Select products you want to buy","Select products you want to buy",module,Magento_AdvancedCheckout
Product,Product,module,Magento_AdvancedCheckout
Price,Price,module,Magento_AdvancedCheckout
Quantity,Quantity,module,Magento_AdvancedCheckout
"Products in the Comparison List (%1)","Products in the Comparison List (%1)",module,Magento_AdvancedCheckout
"Last ordered items (%1)","Last ordered items (%1)",module,Magento_AdvancedCheckout
Products,Products,module,Magento_AdvancedCheckout
ID,ID,module,Magento_AdvancedCheckout
SKU,SKU,module,Magento_AdvancedCheckout
"Recently Compared Products (%1)","Recently Compared Products (%1)",module,Magento_AdvancedCheckout
"Recently Viewed Products (%1)","Recently Viewed Products (%1)",module,Magento_AdvancedCheckout
"Add to Shopping Cart by SKU","Add to Shopping Cart by SKU",module,Magento_AdvancedCheckout
"Add to Shopping Cart","Add to Shopping Cart",module,Magento_AdvancedCheckout
"Wish List (%1)","Wish List (%1)",module,Magento_AdvancedCheckout
Apply,Apply,module,Magento_AdvancedCheckout
Configure,Configure,module,Magento_AdvancedCheckout
"Add to Order by SKU","Add to Order by SKU",module,Magento_AdvancedCheckout
"Add to Order","Add to Order",module,Magento_AdvancedCheckout
"Add Products to Order","Add Products to Order",module,Magento_AdvancedCheckout
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>",module,Magento_AdvancedCheckout
"Remove All","Remove All",module,Magento_AdvancedCheckout
"Only %1%2%3 left in stock","Only %1%2%3 left in stock",module,Magento_AdvancedCheckout
"You can buy up to %1 of these per purchase.","You can buy up to %1 of these per purchase.",module,Magento_AdvancedCheckout
"You must buy at least %1 of these per purchase.","You must buy at least %1 of these per purchase.",module,Magento_AdvancedCheckout
"Specify the product's options.","Specify the product's options.",module,Magento_AdvancedCheckout
"Alert me when this item is available.","Alert me when this item is available.",module,Magento_AdvancedCheckout
"We can't find this customer.","We can't find this customer.",module,Magento_AdvancedCheckout
"Shopping cart management is disabled for this customer.","Shopping cart management is disabled for this customer.",module,Magento_AdvancedCheckout
"We can't find this store.","We can't find this store.",module,Magento_AdvancedCheckout
Customers,Customers,module,Magento_AdvancedCheckout
"Shopping Cart","Shopping Cart",module,Magento_AdvancedCheckout
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log.",module,Magento_AdvancedCheckout
"You do not have access to this.","You do not have access to this.",module,Magento_AdvancedCheckout
"Ordered item id is not received.","Ordered item id is not received.",module,Magento_AdvancedCheckout
"Ordered item is not loaded.","Ordered item is not loaded.",module,Magento_AdvancedCheckout
"Quote item id is not received.","Quote item id is not received.",module,Magento_AdvancedCheckout
"Quote item is not loaded.","Quote item is not loaded.",module,Magento_AdvancedCheckout
"The wish list item id is not received.","The wish list item id is not received.",module,Magento_AdvancedCheckout
"The wish list item is not loaded.","The wish list item is not loaded.",module,Magento_AdvancedCheckout
"An error has occurred. See error log for details.","An error has occurred. See error log for details.",module,Magento_AdvancedCheckout
"You cannot configure a product.","You cannot configure a product.",module,Magento_AdvancedCheckout
